"text-xs","w-full href","rounded-lg src","max-w-[134px] href","text-sm","text-xs 2","text-lg","text-2xs","text-sm 2","whitespace-pre-wrap","whitespace-pre-wrap 2","text-xs 3","w-full href 2","rounded-lg src 2","max-w-[134px] href 2","text-sm 3","text-xs 4","text-lg 2","text-2xs 3","text-sm 4","whitespace-pre-wrap 3","whitespace-pre-wrap 4","text-xs 5","w-full href 3","rounded-lg src 3","max-w-[134px] href 3","text-sm 5","text-xs 6","text-lg 3","text-2xs 5","text-sm 6","whitespace-pre-wrap 5","text-xs 7","w-full href 4","rounded-lg src 4","max-w-[134px] href 4","text-sm 7","text-xs 8","text-lg 4","text-2xs 7","text-2xs 8","relative src 4","inline-flex src","text-xs 9","inline-flex src 2","w-auto src"
"56% OFF","","","https://www.carrefouruae.com/mafuae/en/mix-prepared/braz-beef-sesame-burger-100g/p/1476496","Brazilian Beef Burger with Sesame Seeds 100g Piece","10KG - Approx 1 piece/KG","3",".99","AED 8.99","Tod. 12:00 PM","Tod. 12:00 PM","15% OFF","","","https://www.carrefouruae.com/mafuae/en/african-other-lamb/ken-mutton-carcass-whole-dc-tr-/p/2255086","Kenya Mutton Carcass","500g - Approx 2 pieces/KG","329",".90","AED 389.90","Tod. 12:00 PM","Tod. 12:00 PM","11% OFF","","","https://www.carrefouruae.com/mafuae/en/prepared-chicken/defrosted-chick-breast/p/1158277","Chicken Breast Defrosted","500g - Approx 5 pieces/KG","14",".00","AED 15.80","","","","","https://www.carrefouruae.com/mafuae/en/brazilian-beef/braz-beef-tenderloin-roast-dc-/p/741318","Brazilian Beef Tenderloin Roast","","50",".00","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","","","","https://cdnprod.mafretailproxy.com/assets/images/tabby_badge_8e0427eefe.svg"
"10% OFF","","","https://www.carrefouruae.com/mafuae/en/chicken-breast/alkhazna-ch-breast-cubes-500g/p/1898478","Al Khazna, Chicken, Fresh Chicken Breast Cubes, 500g","AED 57.98 per Kilo","28",".99","AED 33.29","Tod. 12:00 PM","Tod. 12:00 PM","11% OFF","","","https://www.carrefouruae.com/mafuae/en/mutton/ind-mutton-carcass-dc-tr-/p/69110","Indian Whole Mutton","10KG - Approx 5 pieces/KG","449",".90","AED 499.90","Tod. 12:00 PM","Tod. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/al-khazna-chicken-cut-8pcs/p/1106911","Al Khazna, Chicken, Fresh Whole Chicken Cut into 8 Skinless Pieces, 850g","500g - Approx 5 pieces/KG","23",".49","AED 26.49","","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/australian-beef/aus-beef-thin-steak-dc-/p/1179390","Australian Thin-Cut Beef Steak","","39",".00","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","13% OFF","","https://cdnprod.mafretailproxy.com/assets/images/tabby_badge_8e0427eefe.svg"
"11% OFF","","","https://www.carrefouruae.com/mafuae/en/australian-lamb/aus-lamb-shank-dc-/p/2258104","Australian Lamb Shank Import","500g - Approx 2 pieces/KG","35",".00","AED 33.29","Tod. 12:00 PM","Tod. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/al-khazna-chickenbreast-strips-500g/p/1812956","Al Khazna, Chicken, Chicken Breast Strips, 500g","AED 57.98 per Kilo","28",".99","AED 16.30","Tod. 12:00 PM","Tod. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/chicken/defrosted-chick-mince/p/795187","Chicken Mince Defrosted","500g - Approx 30 pieces/KG","14",".50","","","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/australian-beef/aus-beef-ribeye-steak-dc-/p/264650","Australian Beef Ribeye Steak","500g - Approx 5 pieces/KG","74",".50","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","13% OFF","",""
"21% OFF","","","https://www.carrefouruae.com/mafuae/en/australian-lamb/aus-lamb-leg-deboned-dc-/p/2288955","Australian Lamb Leg Deboned Import","500g - Approx 2 pieces/KG","33",".50","AED 42.50","Tod. 12:00 PM","Tod. 12:00 PM","16% OFF","","","https://www.carrefouruae.com/mafuae/en/brazilian-beef/braz-beef-kofta-dc-/p/2288979","Brazilian Beef Kofta Import","500g - Approx 2 pieces/KG","18",".50","AED 22.00","Tod. 12:00 PM","Tod. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/prepared-chicken/chicken-mince-500gr-cpu-pb/p/2162591","Carrefour Chicken Mince 500g","500g - Approx 5 pieces/KG","15",".99","","","Extra 10% off, code - FOOD10","","","https://www.carrefouruae.com/mafuae/en/australian-beef/aus-beef-cubes-boneless-dc-/p/264674","Australian Beef Cubes Boneless","","30",".00","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","","","",""
"12% OFF","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/saha-fresh-chk-mixed-parts-1000g/p/1795210","Saha Fresh Chicken Mixed Parts 1000g","500g - Approx 2 pieces/KG","21",".49","AED 24.49","Tod. 12:00 PM","Tod. 12:00 PM","15% OFF","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/tanmiah-chicken-bag-1000g/p/2244484","Tanmiah Fresh Chicken Bag, 1000g","AED 21.58 per Kilo","21",".29","AED 24.99","Tod. 12:00 PM","Tod. 12:00 PM","21% OFF","","","https://www.carrefouruae.com/mafuae/en/australian-lamb/aus-lamb-kofta-dc-/p/2258151","Australian Lamb Kofta Import","","31",".50","AED 40.00","","","","","https://www.carrefouruae.com/mafuae/en/chicken-thigh/al-ajban-chicken-tigh-500g/p/1121083","Al Ajban Chicken Tigh 500g","","10",".79","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","","","",""
"LOW PRICES","https://www.carrefouruae.com/mafuae/en/whole-chicken/al-ain-chicken-fresh-1kg/p/268585","https://cdn.mafrservices.com/pim-content/UAE/media/product/268585/1765887003/268585_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken/uae-chicken-breast-boneless-tr-/p/1593954","Fresh Chicken Breast","500g - Approx 7 pieces/KG","26",".20","AED 23.79","Tod. 12:00 PM","Tod. 12:00 PM","BESTSELLER","https://www.carrefouruae.com/mafuae/en/brazilian-beef/braz-beef-cube-boneless-dc-/p/248375","https://cdn.mafrservices.com/pim-content/UAE/media/product/248375/1741845604/248375_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/minced-meat/braz-beef-minced-meat-dc-/p/909662","Brazilian Beef Mince","500g - Approx 1 piece/KG","18",".75","","Tod. 12:00 PM","Tod. 12:00 PM","LOW PRICES","https://www.carrefouruae.com/mafuae/en/chicken/uae-chicken-breast-boneless-tr-/p/1593954","https://cdn.mafrservices.com/pim-content/UAE/media/product/1593954/1755686707/1593954_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/brazilian-beef/braz-beef-cube-boneless-dc-/p/248375","Brazilian Beef Cubes","500g - Approx 1 piece/KG","18",".75","","","LOW PRICES","https://www.carrefouruae.com/mafuae/en/minced-meat/braz-beef-minced-meat-dc-/p/909662","https://cdn.mafrservices.com/pim-content/UAE/media/product/909662/1741845604/909662_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/whole-chicken/al-ain-chicken-fresh-1kg/p/268585","Al Ain Fresh Chicken 1kg","Limited Time Offer","21",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","8% OFF","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png",""
"9% OFF","https://www.carrefouruae.com/mafuae/en/chicken-leg/al-khazna-whole-legs-500g/p/331531","https://cdn.mafrservices.com/pim-content/UAE/media/product/331531/1756872603/331531_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken-leg/al-khazna-whole-legs-500g/p/331531","Al Khazna, Chicken, Fresh Whole Chicken Legs, 500g","AED 29.98 per Kilo","14",".99","AED 16.79","Tod. 12:00 PM","Tod. 12:00 PM","LOW PRICES","https://www.carrefouruae.com/mafuae/en/chicken-wings/al-khazna-whole-wings-500g/p/331543","https://cdn.mafrservices.com/pim-content/UAE/media/product/331543/1756872603/331543_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken-wings/al-khazna-whole-wings-500g/p/331543","Al Khazna, Chicken, Fresh Chicken Wings, 500g","AED 18.58 per Kilo","9",".29","AED 9.89","Only 2 left","Tod. 12:00 PM","6% OFF","https://www.carrefouruae.com/mafuae/en/chicken-breast/al-rawdah-chicken-breast-b-les-500g/p/12433","https://cdn.mafrservices.com/sys-master-root/hf8/he5/28546426044446/12433_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken-wings/saha-fresh-chicken-wings-900g/p/1795226","Saha Fresh Chicken Wings 900g","AED 15.54 per Kilo","13",".99","AED 19.49","Tod. 12:00 PM","LOW PRICES","https://www.carrefouruae.com/mafuae/en/chicken-wings/saha-fresh-chicken-wings-900g/p/1795226","https://cdn.mafrservices.com/sys-master-root/h0e/hbd/13603368992798/1795226_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken-breast/al-rawdah-chicken-breast-b-les-500g/p/12433","Al Rawdah Fresh Boneless Skinless Chicken Breast 500g","AED 52.98 per Kilo","26",".49","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","11% OFF","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png",""
"7% OFF","https://www.carrefouruae.com/mafuae/en/chicken-thigh/al-khazna-thighs-500g/p/331538","https://cdn.mafrservices.com/pim-content/UAE/media/product/331538/1756872603/331538_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken-thigh/al-khazna-thighs-500g/p/331538","Al Khazna, Chicken, Fresh Chicken Thighs, 500g","AED 29.98 per Kilo","14",".99","AED 16.79","Tod. 12:00 PM","Tod. 12:00 PM","BESTSELLER","https://www.carrefouruae.com/mafuae/en/whole-chicken/al-ain-chicken-fresh-900g/p/268584","https://cdn.mafrservices.com/pim-content/UAE/media/product/268584/1765887003/268584_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/whole-chicken/al-ain-chicken-fresh-900g/p/268584","Al Ain Fresh Chicken 900g","AED 22.21 per Kilo","19",".99","AED 21.49","Tod. 12:00 PM","Tod. 12:00 PM","","https://www.carrefouruae.com/mafuae/en/brazilian-beef/braz-beef-ribeye-steak-dc-/p/399009","https://cdn.mafrservices.com/pim-content/UAE/media/product/399009/1755763219/399009_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/brazilian-beef/braz-beef-ribeye-steak-dc-/p/399009","Brazilian Beef Ribeye Steak","500g - Approx 5 pieces/KG","29",".95","","","LOW PRICES","https://www.carrefouruae.com/mafuae/en/brazilian-beef/braz-beef-striploin-steak-dc-/p/399008","https://cdn.mafrservices.com/pim-content/UAE/media/product/399008/1778739953/399008_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/brazilian-beef/braz-beef-striploin-steak-dc-/p/399008","Brazilian Beef Striploin Steak","500g - Approx 5 pieces/KG","28",".95","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","11% OFF","",""
"56% OFF","https://www.carrefouruae.com/mafuae/en/whole-chicken/saha-fresh-chicken-wh-12p-cut-800g/p/1795219","https://cdn.mafrservices.com/sys-master-root/hf1/ha4/13603368271902/1795219_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/mix-prepared/braz-beef-pepper-burger-100g/p/1476494","Brazilian Beef Burger with Black Pepper 100g Piece","AED 24.36 per Kilo","3",".99","AED 8.99","Tod. 12:00 PM","Tod. 12:00 PM","56% OFF","https://www.carrefouruae.com/mafuae/en/brazilian-beef/braz-beef-topside-steak-dc-/p/756239","https://cdn.mafrservices.com/pim-content/UAE/media/product/756239/1778741891/756239_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/whole-chicken/saha-fresh-chicken-wh-12p-cut-800g/p/1795219","Saha Fresh Whole Chicken Cut 12Pcs 800G","500g - Approx 5 pieces/KG","19",".49","AED 23.79","Tod. 12:00 PM","Tod. 12:00 PM","17% OFF","https://www.carrefouruae.com/mafuae/en/mix-prepared/braz-beef-pepper-burger-100g/p/1476494","https://cdn.mafrservices.com/sys-master-root/h5b/h6a/11146878156830/1476494_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/mix-prepared/braz-beef-cheese-burger-100g/p/1476495","Brazilian Beef Burger with Cheese 100g Piece","","3",".99","AED 8.99","","LOW PRICES","https://www.carrefouruae.com/mafuae/en/mix-prepared/braz-beef-cheese-burger-100g/p/1476495","https://cdn.mafrservices.com/pim-content/UAE/media/product/1476495/1762414590/1476495_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/brazilian-beef/braz-beef-topside-steak-dc-/p/756239","Brazilian Topside Steak Beef","","25",".00","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","18% OFF","",""
"30% OFF","https://www.carrefouruae.com/mafuae/en/whole-chicken/saha-fresh-wh-chicken-8pc-cut-900g/p/1795218","https://cdn.mafrservices.com/sys-master-root/h6d/hfb/13603364470814/1795218_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/whole-chicken/saha-fresh-wh-chicken-8pc-cut-900g/p/1795218","Saha Fresh Whole Chicken 900g","AED 23.66 per Kilo","21",".29","AED 25.99","Only 3 left","Tod. 12:00 PM","21% OFF","https://www.carrefouruae.com/mafuae/en/brazilian-beef/braz-beef-fondue-dc-/p/733482","https://cdn.mafrservices.com/pim-content/UAE/media/product/733482/1762410918/733482_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/australian-lamb/aus-lamb-minced-dc-/p/2258105","Australian Lamb Mince Import","500g - Approx 2 pieces/KG","31",".50","AED 45.00","Tod. 12:00 PM","Tod. 12:00 PM","17% OFF","https://www.carrefouruae.com/mafuae/en/australian-lamb/aus-lamb-minced-dc-/p/2258105","https://cdn.mafrservices.com/pim-content/UAE/media/product/2258105/1776070800/2258105_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/australian-lamb/aus-lamb-cubes-boneless-dc-/p/2288872","Australian Lamb Cube Boneless Import","500g - Approx 2 pieces/KG","33",".50","AED 42.50","Tod. 12:00 PM","LOW PRICES","https://www.carrefouruae.com/mafuae/en/australian-lamb/aus-lamb-cubes-boneless-dc-/p/2288872","https://cdn.mafrservices.com/pim-content/UAE/media/product/2288872/1776070800/2288872_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/brazilian-beef/braz-beef-fondue-dc-/p/733482","Brazilian Beef Fondue","500g - Approx 15 pieces/KG","25",".00","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","18% OFF","",""
"14% OFF","https://www.carrefouruae.com/mafuae/en/whole-chicken/al-khazna-chicken-cut-12pcs/p/1106910","https://cdn.mafrservices.com/pim-content/UAE/media/product/1106910/1756872603/1106910_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/whole-chicken/al-khazna-chicken-cut-12pcs/p/1106910","Al Khazna, Chicken, Fresh Whole Chicken Cut into 12 Skinless Pieces, 750g","AED 51.58 per Kilo","20",".99","AED 24.29","Tod. 12:00 PM","Tod. 12:00 PM","LOW PRICES","https://www.carrefouruae.com/mafuae/en/chicken-leg/saha-fresh-ch-whole-legs-1000g/p/1795224","https://cdn.mafrservices.com/sys-master-root/h27/h48/13603367616542/1795224_Main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken-breast/al-ajban-chicken-filet-500g/p/1121081","Al Ajban Chicken Filet 500g","1KG - Approx 1 piece/KG","25",".79","AED 28.79","Only 3 left","Tod. 12:00 PM","35% OFF","https://www.carrefouruae.com/mafuae/en/chicken-breast/al-ajban-chicken-filet-500g/p/1121081","https://cdn.mafrservices.com/sys-master-root/h7a/h47/13912623513630/1121081_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken/uae-chicken-whole-pkg/p/1593951","Fresh Whole Chicken","","20",".89","AED 32.99","Tod. 12:00 PM","LOW PRICES","https://www.carrefouruae.com/mafuae/en/chicken/uae-chicken-whole-pkg/p/1593951","https://cdn.mafrservices.com/pim-content/UAE/media/product/1593951/1757660360/1593951_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken-leg/saha-fresh-ch-whole-legs-1000g/p/1795224","Saha Fresh Chicken Whole Legs 1000g","","21",".49","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","10% OFF","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png",""
"LOW PRICES","https://www.carrefouruae.com/mafuae/en/chicken-leg/saha-fresh-chicken-drumsticks-500g/p/1795214","https://cdn.mafrservices.com/sys-master-root/h5e/hf5/13603364601886/1795214_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken/uae-chicken-whole-1-2-kg-/p/1593950","Fresh Whole Chicken 1.2Kg (UAE)","1.20KG - Pack size 1.2Kg","26",".27","AED 17.49","Tod. 12:00 PM","Tod. 12:00 PM","Limited Time Offer","https://www.carrefouruae.com/mafuae/en/whole-chicken/tanmiah-skinless12-cut-900g/p/2244480","https://cdn.mafrservices.com/pim-content/UAE/media/product/2244480/1749700804/2244480_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken/uae-chicken-legs-bone-in-tr-/p/1593956","Fresh Chicken Legs (UAE)","500g - Approx 5 pieces/KG","14",".00","AED 25.79","Tod. 12:00 PM","Tod. 12:00 PM","14% OFF","https://www.carrefouruae.com/mafuae/en/chicken/uae-chicken-whole-1-2-kg-/p/1593950","https://cdn.mafrservices.com/sys-master-root/h24/h75/15880283193374/1593950_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken-leg/saha-fresh-chicken-drumsticks-500g/p/1795214","Saha Fresh Chicken Drumstick 500g","AED 29.98 per Kilo","14",".99","","","21% OFF","https://www.carrefouruae.com/mafuae/en/chicken/uae-chicken-legs-bone-in-tr-/p/1593956","https://cdn.mafrservices.com/pim-content/UAE/media/product/1593956/1751616004/1593956_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/whole-chicken/tanmiah-skinless12-cut-900g/p/2244480","Tanmiah Skinless 12 Cut Fresh Whole Chicken, 900g","AED 22.54 per Kilo","20",".29","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png",""
"38% OFF","https://www.carrefouruae.com/mafuae/en/chicken-breast/tanmiah-chicken-breasts-800g/p/2244478","https://cdn.mafrservices.com/pim-content/UAE/media/product/2244478/1749700804/2244478_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken-leg/al-ajban-chicken-whole-leg-500g/p/1121082","Al Ajban Chicken Whole Leg 500g","AED 21.58 per Kilo","10",".79","AED 17.49","Tod. 12:00 PM","Tod. 12:00 PM","11% OFF","https://www.carrefouruae.com/mafuae/en/chicken-leg/saha-fresh-chicken-drumsticks-1000g/p/1795225","https://cdn.mafrservices.com/sys-master-root/hfe/h98/13603365224478/1795225_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken-breast/tanmiah-chicken-breasts-800g/p/2244478","Tanmiah Fresh Boneless Chicken Breasts, 800g","AED 54.36 per Kilo","43",".49","AED 48.79","Tod. 12:00 PM","Tod. 12:00 PM","26% OFF","https://www.carrefouruae.com/mafuae/en/chicken-leg/al-ajban-chicken-whole-leg-500g/p/1121082","https://cdn.mafrservices.com/sys-master-root/h29/h3d/13559350493214/1121082_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/holand-beef/dutch-veal-striploin-steak-di/p/2288405","Dutch Veal Striploin Steak Import","500g - Approx 2 pieces/KG","47",".50","AED 64.50","","LOW PRICES","https://www.carrefouruae.com/mafuae/en/holand-beef/dutch-veal-striploin-steak-di/p/2288405","https://cdn.mafrservices.com/pim-content/UAE/media/product/2288405/1776758400/2288405_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken-leg/saha-fresh-chicken-drumsticks-1000g/p/1795225","Saha Fresh Chicken Drumstick 1kg","","27",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","20% OFF","",""
"56% OFF","https://www.carrefouruae.com/mafuae/en/brazilian-beef/braz-beef-tenderloin-roast-dc-/p/741318","https://cdn.mafrservices.com/pim-content/UAE/media/product/741318/1758785722/741318_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/mix-prepared/braz-beef-sesame-burger-100g/p/1476496","Brazilian Beef Burger with Sesame Seeds 100g Piece","10KG - Approx 1 piece/KG","3",".99","AED 8.99","Tod. 12:00 PM","Tod. 12:00 PM","15% OFF","https://www.carrefouruae.com/mafuae/en/prepared-chicken/defrosted-chick-breast/p/1158277","https://cdn.mafrservices.com/pim-content/UAE/media/product/1158277/1762176605/1158277_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/african-other-lamb/ken-mutton-carcass-whole-dc-tr-/p/2255086","Kenya Mutton Carcass","500g - Approx 2 pieces/KG","329",".90","AED 389.90","Tod. 12:00 PM","Tod. 12:00 PM","11% OFF","https://www.carrefouruae.com/mafuae/en/mix-prepared/braz-beef-sesame-burger-100g/p/1476496","https://cdn.mafrservices.com/pim-content/UAE/media/product/1476496/1762513832/1476496_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/prepared-chicken/defrosted-chick-breast/p/1158277","Chicken Breast Defrosted","500g - Approx 5 pieces/KG","14",".00","AED 15.80","","","https://www.carrefouruae.com/mafuae/en/african-other-lamb/ken-mutton-carcass-whole-dc-tr-/p/2255086","https://cdn.mafrservices.com/pim-content/UAE/media/product/2255086/1778742133/2255086_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/brazilian-beef/braz-beef-tenderloin-roast-dc-/p/741318","Brazilian Beef Tenderloin Roast","","50",".00","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","","","","https://cdnprod.mafretailproxy.com/assets/images/tabby_badge_8e0427eefe.svg"
"10% OFF","https://www.carrefouruae.com/mafuae/en/chicken-breast/alkhazna-ch-breast-cubes-500g/p/1898478","https://cdn.mafrservices.com/pim-content/UAE/media/product/1898478/1757925333/1898478_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken-breast/alkhazna-ch-breast-cubes-500g/p/1898478","Al Khazna, Chicken, Fresh Chicken Breast Cubes, 500g","AED 57.98 per Kilo","28",".99","AED 33.29","Tod. 12:00 PM","Tod. 12:00 PM","11% OFF","https://www.carrefouruae.com/mafuae/en/whole-chicken/al-khazna-chicken-cut-8pcs/p/1106911","https://cdn.mafrservices.com/pim-content/UAE/media/product/1106911/1756872603/1106911_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/mutton/ind-mutton-carcass-dc-tr-/p/69110","Indian Whole Mutton","10KG - Approx 5 pieces/KG","449",".90","AED 499.90","Tod. 12:00 PM","Tod. 12:00 PM","","https://www.carrefouruae.com/mafuae/en/mutton/ind-mutton-carcass-dc-tr-/p/69110","https://cdn.mafrservices.com/sys-master-root/hcd/hd9/12631682809886/69110_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/whole-chicken/al-khazna-chicken-cut-8pcs/p/1106911","Al Khazna, Chicken, Fresh Whole Chicken Cut into 8 Skinless Pieces, 850g","500g - Approx 5 pieces/KG","23",".49","AED 26.49","","LOW PRICES","https://www.carrefouruae.com/mafuae/en/australian-beef/aus-beef-thin-steak-dc-/p/1179390","https://cdn.mafrservices.com/pim-content/UAE/media/product/1179390/1762497748/1179390_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/australian-beef/aus-beef-thin-steak-dc-/p/1179390","Australian Thin-Cut Beef Steak","","39",".00","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","13% OFF","","https://cdnprod.mafretailproxy.com/assets/images/tabby_badge_8e0427eefe.svg"
"21% OFF","https://www.carrefouruae.com/mafuae/en/australian-beef/aus-beef-cubes-boneless-dc-/p/264674","https://cdn.mafrservices.com/pim-content/UAE/media/product/264674/1745410203/264674_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/australian-lamb/aus-lamb-leg-deboned-dc-/p/2288955","Australian Lamb Leg Deboned Import","500g - Approx 2 pieces/KG","33",".50","AED 42.50","Tod. 12:00 PM","Tod. 12:00 PM","16% OFF","https://www.carrefouruae.com/mafuae/en/prepared-chicken/chicken-mince-500gr-cpu-pb/p/2162591","https://cdn.mafrservices.com/sys-master-root/h12/hf4/63144379285534/2162591_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/brazilian-beef/braz-beef-kofta-dc-/p/2288979","Brazilian Beef Kofta Import","500g - Approx 2 pieces/KG","18",".50","AED 22.00","Tod. 12:00 PM","Tod. 12:00 PM","","https://www.carrefouruae.com/mafuae/en/australian-lamb/aus-lamb-leg-deboned-dc-/p/2288955","https://cdn.mafrservices.com/pim-content/UAE/media/product/2288955/1776070800/2288955_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/prepared-chicken/chicken-mince-500gr-cpu-pb/p/2162591","Carrefour Chicken Mince 500g","500g - Approx 5 pieces/KG","15",".99","","","Extra 10% off, code - FOOD10","https://www.carrefouruae.com/mafuae/en/brazilian-beef/braz-beef-kofta-dc-/p/2288979","https://cdn.mafrservices.com/pim-content/UAE/media/product/2288979/1777002819/2288979_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/australian-beef/aus-beef-cubes-boneless-dc-/p/264674","Australian Beef Cubes Boneless","","30",".00","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","","","",""
