"text-xs","w-full href","rounded-lg src","max-w-[134px] href","text-sm","text-xs 3","text-lg","text-2xs","whitespace-pre-wrap","whitespace-pre-wrap 2","w-full href 2","rounded-lg src 2","max-w-[134px] href 2","text-sm 3","text-xs 6","text-lg 2","text-2xs 3","text-2xs 4","relative src 2","whitespace-pre-wrap 3","w-full href 3","rounded-lg src 3","max-w-[134px] href 3","text-sm 5","text-xs 8","text-lg 3","text-2xs 5","whitespace-pre-wrap 4","whitespace-pre-wrap 5","w-full href 4","rounded-lg src 4","max-w-[134px] href 4","text-sm 6","text-xs 9","text-lg 4","text-2xs 7","whitespace-pre-wrap 6"
"LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/olives/turkish-grilled-olives/p/1734821","Turkish Grilled Olives","250g - Approx 40 pieces/KG","10",".62","Tod. 12:00 PM","Only 2 left","","","https://www.carrefouruae.com/mafuae/en/beef/prime-beef-frankfurter-400g/p/12095","Prime Beef Frankfurters, 400g","AED 23.72 per Kilo","9",".49","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/turkey/turkey-mortadella-cheese-di-/p/2254031","Fresh Farm Turkey Luncheon Cheese","250g - Approx 4 pieces/KG","5",".00","Tod. 12:00 PM","Only 4 left","","","https://www.carrefouruae.com/mafuae/en/chicken/poli-sausage-500g/p/2140913","Poli Chicken Sausage, 500g","AED 55.98 per Kilo","27",".99","Tod. 12:00 PM"
"33% OFF","","","https://www.carrefouruae.com/mafuae/en/herbs-pulses/figs-dried-eco-dc/p/2297015","Figs Dried","1KG - Pack size 1 Kg","39",".99","Tod. 12:00 PM","Only 2 left","","","https://www.carrefouruae.com/mafuae/en/chicken/zogi-chicken-mortadella-500g/p/1411349","Zogi Chicken Mortadella 500g","AED 27.58 per Kilo","13",".79","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/chicken/perutnina-chicken-frankfurter-200g/p/1540356","Perutnina Extra Chicken Frankfurter 200g","AED 62.45 per Kilo","12",".49","Tod. 12:00 PM","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/turkey/sibel-turkey-chk-salami-150gr/p/1083214","Sibel Texa-Star Turkey and Chicken Salami with Paprika, 150g","AED 79.27 per Kilo","11",".89",""
"18% OFF","","","https://www.carrefouruae.com/mafuae/en/turkey/perutnina-slim-fit-turkey-100g/p/1258930","Perutnina Turkey Sausage Slices 100g","AED 120.90 per Kilo","12",".09","Only 2 left","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/sea-foods/herring-fillet-matjas-260g/p/1160506","Santa Bremor Matjes Herring Fillet 260g","AED 83.04 per Kilo","21",".59","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/chicken/sibel-turk-chk-150gr/p/1083213","Sibel Texa-Star Turkey and Chicken Salami, 150g","AED 79.27 per Kilo","11",".89","Tod. 12:00 PM","Only 1 left","","","https://www.carrefouruae.com/mafuae/en/sea-foods/herring-fillet-matjas-original-in/p/1099122","Cahta Gpemop Mathac Herring Fillet 150g","","15",".39","Tod. 12:00 PM"
"22% OFF","","","https://www.carrefouruae.com/mafuae/en/turkey/greenhill-farm-turky-smoklink-396g/p/1554364","Greenhill Farm Turkey Hot Smoked Sausage 396g","AED 74.47 per Kilo","29",".49","Tod. 12:00 PM","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/sea-foods/herring-flt-matjas-smoked-250g/p/1091053","Santa Bremor Herring Fillet Matjes Smoked 250g","AED 69.96 per Kilo","17",".49","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/sea-foods/santa-bremor-krill-spread-150g/p/1281207","Santa Bremor Krill Spread 150g","AED 109.27 per Kilo","16",".39","Tod. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/chicken/perutnina-chicken-frankfurter-400g/p/1540358","Perutnina Extra Chicken Frankfurter 400g","AED 60.48 per Kilo","24",".19",""
"20% OFF","","","https://www.carrefouruae.com/mafuae/en/turkey/sibel-sliced-smoked-turkey-150g/p/1083220","Sibel Texa Star Turkey And Chicken Sliced With Paprika 150g","AED 136.60 per Kilo","20",".49","Tod. 12:00 PM","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/beef/greenhill-farm-beef-smok-link-396g/p/1554365","Greenhill Farm Beef Smoked Sausage Links 396g","AED 101.74 per Kilo","40",".29","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/tulkarem-chicken-mort-plain-500g/p/1911030","Tulkarem Plain Chicken Mortadella 500g","1KG - Pack size 1 Kg","9",".99","Tod. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/herbs-pulses/apricot-dried-eco-dc/p/2297014","Apricot Dried","","69",".99",""
"51% OFF","","","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/tulkarem-chicken-mort-olives-500g/p/1911032","Tulkarem Chicken Mortadella with Olives 500g","","9",".99","Tod. 12:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31% OFF","https://www.carrefouruae.com/mafuae/en/salamis/bavaria-beef-pepperoni/p/1871984","https://cdn.mafrservices.com/pim-content/UAE/media/product/1871984/1771326768/1871984_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/salamis/bavaria-beef-pepperoni/p/1871984","Bavaria Beef Pepperoni","150g - Approx 100 pieces/KG","7",".95","Tod. 12:00 PM","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/herbs-pulses/samr-honey-1kg/p/2251988","https://cdn.mafrservices.com/pim-content/UAE/media/product/2251988/1755759604/2251988_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/beef/crf-beef-pastrami-200g/p/1350790","Carrefour Beef Pastrami, 200g","AED 55.95 per Kilo","11",".19","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/beef/crf-beef-mortadelle-plain-200g/p/1350796","https://cdn.mafrservices.com/pim-content/UAE/media/product/1350796/1752202803/1350796_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/beef/crf-beef-mortadelle-plain-200g/p/1350796","Carrefour Plain Beef Mortadella, 200g","AED 37.45 per Kilo","7",".49","Tod. 12:00 PM","","https://www.carrefouruae.com/mafuae/en/beef/crf-beef-pastrami-200g/p/1350790","https://cdn.mafrservices.com/pim-content/UAE/media/product/1350790/1752202803/1350790_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/herbs-pulses/samr-honey-1kg/p/2251988","Samr Honey 1Kg","","139",".99",""
"29% OFF","https://www.carrefouruae.com/mafuae/en/chicken/crf-mortad-roll-chick-pln-250g/p/1450344","https://cdn.mafrservices.com/sys-master-root/h14/h7e/14675025166366/1450344_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken/crf-mortad-roll-chick-pln-250g/p/1450344","Carrefour Plain Chicken Mortadella Rolls 200g","AED 17.96 per Kilo","4",".49","Tod. 12:00 PM","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/chicken/perutnina-chicken-frankfurter-100g/p/1540355?list_name=sponsored_listing","https://cdn.mafrservices.com/sys-master-root/h93/h5d/47827974684702/1540355_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/beef/crf-mortad-roll-beef-pln-250g/p/1450347","Carrefour Plain Beef Mortadella Roll, 250g","AED 35.16 per Kilo","8",".79","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/chicken/perutnina-pepe-chc-m-frankfmix250g/p/1282285?list_name=sponsored_listing","https://cdn.mafrservices.com/sys-master-root/hbf/hca/47827972522014/1282285_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken/perutnina-chicken-frankfurter-100g/p/1540355?list_name=sponsored_listing","Perutnina Extra Chicken Frankfurter 100g","AED 72.90 per Kilo","7",".29","Tod. 12:00 PM","","https://www.carrefouruae.com/mafuae/en/beef/crf-mortad-roll-beef-pln-250g/p/1450347","https://cdn.mafrservices.com/pim-content/UAE/media/product/1450347/1752202803/1450347_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken/perutnina-pepe-chc-m-frankfmix250g/p/1282285?list_name=sponsored_listing","Perutnina Ptuj Pepe Mini Chicken Frankfurters Party Mix 250g","","20",".99",""
"51% OFF","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/tulkarem-smok-beef-mort-pepper-500g/p/1877611","https://cdn.mafrservices.com/sys-master-root/h62/hf2/28564398735390/1877611_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/tulkarem-smok-beef-mort-pepper-500g/p/1877611","Tulkarem Smoked Pepper Beef Mortadella 500g","AED 17.38 per Kilo","9",".99","Tod. 12:00 PM","Only 2 left","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/tulkarem-smoke-beef-mort-plain-500g/p/1877610","https://cdn.mafrservices.com/sys-master-root/h80/hf5/28564398014494/1877610_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/tulkarem-smoke-beef-mort-plain-500g/p/1877610","Tulkarem Smoked Plain Beef Mortadella 500g","AED 37.45 per Kilo","9",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/beef/crf-beef-mortadelle-olives-200g/p/1350794","https://cdn.mafrservices.com/pim-content/UAE/media/product/1350794/1752202803/1350794_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken/crf-mortad-roll-chick-pln-500g/p/1450351","Carrefour Plain Chicken Mortadella Roll 500g","","8",".69","Tod. 12:00 PM","Only 1 left","https://www.carrefouruae.com/mafuae/en/chicken/crf-mortad-roll-chick-pln-500g/p/1450351","https://cdn.mafrservices.com/sys-master-root/heb/h0d/46641024729118/1450351_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/beef/crf-beef-mortadelle-olives-200g/p/1350794","Carrefour Olives Beef Mortadella, 200g","","7",".49","Tod. 12:00 PM"
"29% OFF","https://www.carrefouruae.com/mafuae/en/herbs-pulses/dc-ep-walnuts-half-roasted/p/2239864","https://cdn.mafrservices.com/pim-content/UAE/media/product/2239864/1744779603/2239864_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/herbs-pulses/dc-ep-walnuts-half-roasted/p/2239864","Walnut Eco Half Roasted","1KG - Approx 10 pieces/KG","46",".49","Tod. 12:00 PM","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/chicken/crf-chicken-mortadella-200gx2/p/1358704","https://cdn.mafrservices.com/sys-master-root/h21/h70/50551356424222/1358704_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/beef/crf-mortad-roll-beef-oliv-250g/p/1450348","Carrefour Olives Beef Mortadella Roll, 250g","AED 34.76 per Kilo","8",".69","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/beef/crf-mortad-roll-beef-pista-250g/p/1450349","https://cdn.mafrservices.com/pim-content/UAE/media/product/1450349/1752202803/1450349_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/beef/crf-mortad-roll-beef-pista-250g/p/1450349","Carrefour Pistachio Beef Mortadella Roll, 250g","AED 34.76 per Kilo","8",".69","Tod. 12:00 PM","","https://www.carrefouruae.com/mafuae/en/beef/crf-mortad-roll-beef-oliv-250g/p/1450348","https://cdn.mafrservices.com/pim-content/UAE/media/product/1450348/1752202803/1450348_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken/crf-chicken-mortadella-200gx2/p/1358704","Carrefour Chicken Mortadella 200g Pack of 2","AED 20.72 per Kilo","8",".29",""
"Ad","https://www.carrefouruae.com/mafuae/en/chicken/perutnina-mini-chiken-frank-330g/p/1540351?list_name=sponsored_listing","https://cdn.mafrservices.com/sys-master-root/hc4/h53/47827974946846/1540351_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken/perutnina-mini-chiken-frank-330g/p/1540351?list_name=sponsored_listing","Perutnina Poli Chicken Frankfurter 330g","AED 80.58 per Kilo","26",".59","Tod. 12:00 PM","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/herbs-pulses/dc-ep-pistachio-salted/p/2239861","https://cdn.mafrservices.com/pim-content/UAE/media/product/2239861/1745391603/2239861_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/sea-foods/sb-salmon-fillet-100gr/p/1411937?list_name=sponsored_listing","Santa Bremor Smoked Salmon, 100g","AED 280.90 per Kilo","28",".09","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/sea-foods/carrefour-trout-roe-80g/p/2129747","https://cdn.mafrservices.com/sys-master-root/he9/h50/62937438650398/2129747_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/sea-foods/carrefour-trout-roe-80g/p/2129747","Carrefour Extra Trout Roe 80g","AED 407.38 per Kilo","32",".59","Tod. 12:00 PM","","https://www.carrefouruae.com/mafuae/en/sea-foods/sb-salmon-fillet-100gr/p/1411937?list_name=sponsored_listing","https://cdn.mafrservices.com/pim-content/UAE/media/product/1411937/1754539804/1411937_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/herbs-pulses/dc-ep-pistachio-salted/p/2239861","Pistachios Salted Eco 1Kg","1KG - Pack size 1Kg","39",".99",""
