"text-xs","w-full href","rounded-lg src","max-w-[134px] href","text-sm","text-lg","text-2xs","whitespace-pre-wrap","w-full href 2","rounded-lg src 2","max-w-[134px] href 2","text-sm 3","text-xs 3","text-lg 2","text-2xs 3","whitespace-pre-wrap 2","w-full href 3","rounded-lg src 3","max-w-[134px] href 3","text-sm 4","text-lg 3","text-2xs 5","whitespace-pre-wrap 3","whitespace-pre-wrap 4","text-xs 4","w-full href 4","rounded-lg src 4","max-w-[134px] href 4","text-sm 5","text-lg 4","text-2xs 7","whitespace-pre-wrap 5","inline-flex src","text-xs 6","text-xs 7","text-xs 8","inline-flex src 2"
"","","","https://www.carrefouruae.com/mafuae/en/probiotic-yoghurt/actimel-assorted-93mlx6-2/p/1162786","Actimel Strawberry Dairy Yogurt Drink, Probiotics Laban Drink Pack of 8x93ml","22",".79","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/cooking-cream/puck-cook-cream-1l/p/1125443","Puck Cooking Cream, 1L","AED 30.63 per Liter","26",".99","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/other-butter/egy-buffalo-pure-ghee/p/1268898","Simply Pure Buffalo Ghee","49",".99","Tom. 10:00 AM","Tom. 10:00 AM","","","","https://www.carrefouruae.com/mafuae/en/spain-cheese/manchego-semicured/p/1859662","Manchego Cheese","29",".00","","","200g - Approx 7 pieces/KG","","",""
"Bright Bites","","","https://www.carrefouruae.com/mafuae/en/cheddar-cheese/bb-mild-cheddar-portions-20gx5/p/2250438","Bright Bites Mild Cheddar Cheese Bites Portions, 20g Pack of 5","6",".99","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/energy-milk/yopro-chocolate-milk-300ml/p/2241786","YoPro Protein Milk, Triple Zero Chocolate Flavoured High Protein Milk, Fat Free Milk, 300ml","AED 69.90 per Kilo","7",".29","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/other-butter/egy-cow-pure-ghee/p/1268899","Simply Pure Cow Ghee","48",".99","Tom. 10:00 AM","Tom. 10:00 AM","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/fresh-cream/crf-cream-fresh-15-20cl/p/1010441","Carrefour 15% Low Fat Fresh Cream, 200ml","13",".99","","https://cdnprod.mafretailproxy.com/assets/images/Vector_1_640025361d.svg","AED 24.30 per Liter","AED 69.95 per Liter","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png"
"LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/cheddar-cheese/cheddar-mild-bega/p/425536","Bega Mild Cheddar Cheese","17",".22","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/frozen-unsalted-butter/lurpak-butter-unsalted-200g/p/76527","Lurpak Unsalted Soft Butter, 200g","250g - Approx 36 pieces/KG","13",".79","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/cheese-pate-fondue/kashkaval-cow-milk-700g/p/71454","Kashkaval Cow Milk 700g","57",".39","Only 1 left","Tom. 10:00 AM","","","","https://www.carrefouruae.com/mafuae/en/spread-processed-cheese/kiri-cheese-portion-24p-400g/p/11841","Kiri Spreadable Cream Cheese Squares 24 Portions 400g","26",".49","Tom. 10:00 AM","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","AED 68.95 per Kilo","700g - Pack size 700g","AED 61.32 per Kilo",""
"LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/local-cheese/mish-masry/p/71455","Mish Egyptian Cheese","6",".12","Only 2 left","","","https://www.carrefouruae.com/mafuae/en/double-cream-milk/al-rawabi-milk-double-cream-2l/p/11537","Al Rawabi Double Cream Milk, 2L","250g - Approx 30 pieces/KG","13",".79","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/greek-yogurt/greek-yoghurt-360g/p/1921852","Hayatna Plain Protein Greek Yoghurt, 360g","10",".29","Tom. 10:00 AM","Tom. 10:00 AM","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/plain-laban/crf-laban-ff-1l/p/1902808","Carrefour Full Fat Fresh Laban 1L","6",".39","Tom. 10:00 AM","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","AED 6.90 per Liter","","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png"
"LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/probiotic-yoghurt/activia-kefir-dairy-drink-180ml/p/2234081","Activia Kefir Dairy Drink, 180ml","3",".99","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/mozzarella-whey-cheese/crf-cheese-mascarpone-250g/p/881683","Carrefour Mascarpone Cheese 250g","AED 22.17 per Liter","23",".29","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/low-fat-milk/al-rawabi-milk-lf-2l/p/70040","Al Rawabi Low Fat Milk, 2L","12",".99","Tom. 10:00 AM","Tom. 10:00 AM","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/soft-cheese-cottage/halloumi/p/71599","Plain Halloumi Cheese","18",".02","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","AED 93.16 per Kilo","AED 6.50 per Liter","350g - Approx 30 pieces/KG","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png"
"LOW PRICES","https://www.carrefouruae.com/mafuae/en/uht-milk-full-fat/lacnor-uht-milk-full-fat-1lx4/p/104222","https://cdn.mafrservices.com/pim-content/UAE/media/product/104222/1758859804/104222_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/uht-milk-full-fat/lacnor-uht-milk-full-fat-1lx4/p/104222","Lacnor UHT Full Fat Milk, 1L Pack of 4","17",".49","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/cheddar-cheese/mera-colby-jack-loaf-cheese/p/2135576","https://cdn.mafrservices.com/pim-content/UAE/media/product/2135576/1722600606/2135576_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/flavoured-yoghurt/almarai-yoghurt-strawberry-150g/p/1491714","Almarai Strawberry Flavoured Fresh Yoghurt, 150g","AED 4.37 per Liter","1",".89","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/flavoured-yoghurt/almarai-yoghurt-strawberry-150g/p/1491714","https://cdn.mafrservices.com/pim-content/UAE/media/product/1491714/1756703404/1491714_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/shredded-grated-cheese/crf-mozzarella-shredded-uae-200g/p/2166020","Carrefour Shredded Mozzarella Cheese, 200g","11",".99","Tom. 10:00 AM","Tom. 10:00 AM","LOW PRICES","https://www.carrefouruae.com/mafuae/en/shredded-grated-cheese/crf-mozzarella-shredded-uae-200g/p/2166020","https://cdn.mafrservices.com/pim-content/UAE/media/product/2166020/1757218204/2166020_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/cheddar-cheese/mera-colby-jack-loaf-cheese/p/2135576","Mera Colby Jack Cheese","11",".62","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","AED 12.60 per Kilo","AED 59.95 per Kilo","150g - Approx 7 pieces/KG","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png"
"LOW PRICES","https://www.carrefouruae.com/mafuae/en/full-fat-milk/al-ain-milk-full-cream-1l/p/391446","https://cdn.mafrservices.com/sys-master-root/hba/haf/32565265530910/391446_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/full-fat-milk/al-ain-milk-full-cream-1l/p/391446","Al Ain Farms Full Cream Fresh Milk, 1L","6",".89","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/cheddar-cheese/mera-white-mild-cheddar-loaf/p/2165794","https://cdn.mafrservices.com/pim-content/UAE/media/product/2165794/1722344403/2165794_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/spread-processed-cheese/kiri-cheese-portion-6p-100g/p/11756","Kiri Spreadable Cream Cheese Squares 6 Portion, 100g","AED 58.25 per Kilo","6",".99","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/spread-processed-cheese/kiri-cheese-portion-6p-100g/p/11756","https://cdn.mafrservices.com/pim-content/UAE/media/product/11756/1762844407/11756_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/cheddar-cheese/mera-white-mild-cheddar-loaf/p/2165794","Mera White Mild Cheddar","9",".67","Tom. 10:00 AM","Tom. 10:00 AM","LOW PRICES","https://www.carrefouruae.com/mafuae/en/greek-yogurt/crf-greek-yogurt-0-plain-400g/p/1775683","https://cdn.mafrservices.com/sys-master-root/h6c/h3a/49595270889502/1775683_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/greek-yogurt/crf-greek-yogurt-0-plain-400g/p/1775683","Carrefour Natural Authentic Greek Yogurt 400g","16",".29","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","150g - Approx 7 pieces/KG","AED 40.72 per Kilo","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png"
"LOW PRICES","https://www.carrefouruae.com/mafuae/en/spread-processed-cheese/almarai-cheese-slices-cheddar-400g/p/1201866","https://cdn.mafrservices.com/pim-content/UAE/media/product/1201866/1768284600/1201866_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/spread-processed-cheese/almarai-cheese-slices-cheddar-400g/p/1201866","Almarai Cheddar Cheese Slices, 400g","13",".99","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/uht-milk-full-fat/lacnor-milk-full-cream-8x180ml/p/138814","https://cdn.mafrservices.com/sys-master-root/h32/h9f/52611744858142/138814_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/mozzarella-whey-cheese/crf-cheese-mozarella-125g/p/507060","Carrefour Mozzarella Soft Cheese 125g","AED 34.98 per Kilo","12",".49","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/mozzarella-whey-cheese/crf-cheese-mozarella-125g/p/507060","https://cdn.mafrservices.com/sys-master-root/hac/hf5/12659955367966/507060_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/mozzarella-whey-cheese/crf-cheese-ricotta-250g/p/1009934","Carrefour Ricotta Cheese 250g","14",".79","Tom. 10:00 AM","Tom. 10:00 AM","","https://www.carrefouruae.com/mafuae/en/mozzarella-whey-cheese/crf-cheese-ricotta-250g/p/1009934","https://cdn.mafrservices.com/sys-master-root/h4d/ha0/12659146948638/1009934_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/uht-milk-full-fat/lacnor-milk-full-cream-8x180ml/p/138814","Lacnor Full Cream Milk, 180ml Pack of 8","11",".29","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","AED 99.92 per Kilo","AED 59.16 per Kilo","AED 7.84 per Liter",""
"LOW PRICES","https://www.carrefouruae.com/mafuae/en/full-fat-milk/al-rawabi-milk-ff-1gallon/p/333565","https://cdn.mafrservices.com/pim-content/UAE/media/product/333565/1752552603/333565_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/full-fat-milk/al-rawabi-milk-ff-1gallon/p/333565","Al Rawabi Full Fat Milk, 1 Gallon","22",".79","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/cheddar-cheese/mera-pepper-jack-loaf/p/2135580","https://cdn.mafrservices.com/pim-content/UAE/media/product/2135580/1722600606/2135580_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/cooking-cream/almarai-cooking-cream-uht-500ml/p/993308","Almarai Chef's Choice UHT Full Fat Cooking Cream, 500ml","AED 6.02 per Liter","15",".49","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/cooking-cream/almarai-cooking-cream-uht-500ml/p/993308","https://cdn.mafrservices.com/pim-content/UAE/media/product/993308/1753596603/993308_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/cheddar-cheese/mera-pepper-jack-loaf/p/2135580","Mera Pepper Jack Cheese","11",".92","Tom. 10:00 AM","Tom. 10:00 AM","","https://www.carrefouruae.com/mafuae/en/shredded-grated-cheese/crf-cheddar-red-shredded-250g/p/1334116","https://cdn.mafrservices.com/pim-content/UAE/media/product/1334116/1757218204/1334116_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/shredded-grated-cheese/crf-cheddar-red-shredded-250g/p/1334116","Carrefour Shredded Red Cheddar Cheese, 250g","13",".79","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","AED 30.98 per Liter","150g - Approx 7 pieces/KG","AED 55.16 per Kilo",""
"LOW PRICES","https://www.carrefouruae.com/mafuae/en/soft-cheese-cottage/svalia-cottage-0-5-200g/p/1269489","https://cdn.mafrservices.com/sys-master-root/h6a/hab/9855432065054/1269489_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/soft-cheese-cottage/svalia-cottage-0-5-200g/p/1269489","Svalia Cottage Cheese 0.5 % 200g","18",".29","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/coconut-milk/alpro-coconut-soya-professional-1l/p/1629610","https://cdn.mafrservices.com/pim-content/UAE/media/product/1629610/1762654203/1629610_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/uht-flavored-milk/lacnor-uht-junior-choc-milk-125mlx6/p/428460","Lacnor UHT Junior Chocolate Milk, 125ml Pack of 6","AED 91.45 per Kilo","6",".49","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/uht-flavored-milk/lacnor-uht-junior-choc-milk-125mlx6/p/428460","https://cdn.mafrservices.com/pim-content/UAE/media/product/428460/1748866204/428460_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/flavoured-yoghurt/activia-yoghurt120gx6-2/p/1485271","Activia Low Fat Mixed Berries Stirred Yoghurt 120g Pack of 8","15",".29","Tom. 10:00 AM","Tom. 10:00 AM","LOW PRICES","https://www.carrefouruae.com/mafuae/en/flavoured-yoghurt/activia-yoghurt120gx6-2/p/1485271","https://cdn.mafrservices.com/pim-content/UAE/media/product/1485271/1738839603/1485271_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/coconut-milk/alpro-coconut-soya-professional-1l/p/1629610","Alpro Barista Coconut Drink, 1L","18",".49","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","AED 8.65 per Liter","","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png"
